Path,Sample,ReferenceGenome,ProviderName,Subject,Outgroup
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_rectum_19560936,EhormaecheiYT3_GCF000328885,SRR19560936,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_env_19560961,EhormaecheiYT3_GCF000328885,SRR19560961,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_env_19560984,EhormaecheiYT3_GCF000328885,SRR19560984,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_env_19560996,EhormaecheiYT3_GCF000328885,SRR19560996,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_env_19561014,EhormaecheiYT3_GCF000328885,SRR19561014,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_env_19561016,EhormaecheiYT3_GCF000328885,SRR19561016,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_env_19561017,EhormaecheiYT3_GCF000328885,SRR19561017,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_rectum_19561043,EhormaecheiYT3_GCF000328885,SRR19561043,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_rectum_19561044,EhormaecheiYT3_GCF000328885,SRR19561044,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_urine_19561047,EhormaecheiYT3_GCF000328885,SRR19561047,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_rectum_19561048,EhormaecheiYT3_GCF000328885,SRR19561048,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_env_19561061,EhormaecheiYT3_GCF000328885,SRR19561061,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_env_19561062,EhormaecheiYT3_GCF000328885,SRR19561062,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_blood_19561070,EhormaecheiYT3_GCF000328885,SRR19561070,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_rectum_19561144,EhormaecheiYT3_GCF000328885,SRR19561144,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_urine_19561165,EhormaecheiYT3_GCF000328885,SRR19561165,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_rectum_19561199,EhormaecheiYT3_GCF000328885,SRR19561199,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_wound_19561205,EhormaecheiYT3_GCF000328885,SRR19561205,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_urine_19561244,EhormaecheiYT3_GCF000328885,SRR19561244,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_other_19561269,EhormaecheiYT3_GCF000328885,SRR19561269,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_rectum_19561270,EhormaecheiYT3_GCF000328885,SRR19561270,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_other_19561273,EhormaecheiYT3_GCF000328885,SRR19561273,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_other_19561274,EhormaecheiYT3_GCF000328885,SRR19561274,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_other_19561279,EhormaecheiYT3_GCF000328885,SRR19561279,Pub_data,0
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/public_data/2023_12_collapsed_download/,ford22_urine_19561283,EhormaecheiYT3_GCF000328885,SRR19561283,Pub_data,0
