Path,Sample,ReferenceGenome,ProviderName,Subject
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00020_01,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00020-01_S2,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00020_02,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00020-02_S25,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00020_03,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00020-03_S49,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00020_04,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00020-04_S72,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00020_05,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00020-05_S14,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00020_06,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00020-06_S38,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00020_07,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00020-07_S62,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00020_08,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00020-08_S83,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00020_09,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00020-09_S4,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00020_10,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00020-10_S27,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00054_01,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00054-01_S51,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00054_02,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00054-02_S74,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00054_03,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00054-03_S16,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00054_04,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00054-04_S64,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00054_05,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00054-05_S85,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00054_06,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00054-06_S6,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00054_07,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00054-07_S29,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00054_08,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00054-08_S53,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00054_09,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00054-09_S76,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00054_10,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00054-10_S18,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00055_01,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00055-01_S42,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00055_02,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00055-02_S66,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00055_03,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00055-03_S87,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00055_04,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00055-04_S8,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00055_05,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00055-05_S31,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00055_06,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00055-06_S55,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00055_07,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00055-07_S78,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00055_08,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00055-08_S20,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00055_09,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00055-09_S44,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,B00055_10,P07_Bthetaiotaomicron-c1,mpg_L25635_Pool-KEY-B00055-10_S68,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/211220_SN442_0258_A_HCC72BGXJ/data/,L00001_01,P10_Kmichiganensis-c1,L24744_KeyLabPool_L00001-01_S62,P10
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/ /ptmp/mfenk/data/mf_2020_hap/batch1/raw/220901_SN417_0416_B_HCHTKDRX2/data/,L00001_02,P10_Smaltophilia-c1,mpg_L25635_Pool-KEY-L00001-02_S372 mpg_L27655-1_Fenk-Pool-L00001-02_S5,P10
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,L00049_01,P07_Apittii-c1,mpg_L25635_Pool-KEY-L00049-01_S136,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,L00049_02,P07_Apittii-c1,mpg_L25635_Pool-KEY-L00049-02_S160,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/ /ptmp/mfenk/data/mf_2020_hap/batch1/raw/220901_SN417_0416_B_HCHTKDRX2/data/,L00049_03,P07_Apittii-c1,mpg_L25635_Pool-KEY-L00049-03_S426 mpg_L27655-1_Fenk-Pool-L00049-03_S59,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,L00049_04,P07_Apittii-c1,mpg_L25635_Pool-KEY-L00049-04_S183,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,L00049_05,P07_Apittii-c1,mpg_L25635_Pool-KEY-L00049-05_S207,P07
/ptmp/mfenk/data/mf_2020_hap/batch1/raw/220407_SN417_0375_A_H27M3DRX2/data/,L00049_06,P07_Apittii-c1,mpg_L25635_Pool-KEY-L00049-06_S231,P07
