Path,Sample,ReferenceGenome,Outgroup
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00020_01,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00020_02,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00020_03,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00020_04,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00020_05,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00020_06,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00020_07,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00020_08,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00020_09,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00020_10,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00054_01,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00054_02,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00054_03,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00054_04,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00054_05,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00054_06,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00054_07,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00054_08,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00054_09,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00054_10,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00055_01,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00055_02,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00055_03,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00055_04,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00055_05,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00055_06,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00055_07,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00055_08,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00055_09,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,B00055_10,P07_Bthetaiotaomicron-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00001_01,P10_Kmichiganensis-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00001_02,P10_Smaltophilia-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_01,P07_Apittii-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_02,P07_Apittii-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_03,P07_Apittii-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_04,P07_Apittii-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_05,P07_Apittii-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_06,P07_Apittii-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_07,P07_Apittii-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_08,P07_Apittii-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_09,P07_Apittii-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_10,P07_Apittii-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_11,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_12,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_13,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_14,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_15,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_16,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_17,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_18_1,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_19,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00049_20,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00061_01,P10_Kmichiganensis-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00061_02,P10_Kmichiganensis-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00061_03,P10_Kmichiganensis-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00061_04,P10_Kmichiganensis-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00061_05,P10_Kmichiganensis-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00061_06,P10_Kmichiganensis-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00061_07,P10_Kmichiganensis-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00061_08,P10_Kmichiganensis-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00061_09,P10_Kmichiganensis-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00061_10,P10_Kmichiganensis-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_01_1,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_01_1_S2,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_02_1,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_02_1_S3,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_02_2,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_03_1,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_03_2,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_04_1,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_04_1_S2,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_04_2,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_05_1,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_05_2,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_06_1,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_07_1,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_07_1_S2,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_07_2,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_08_1,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_08_2,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_09_1,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_09_2,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_10_1,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_11,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_12,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_13,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_14,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_15,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_16,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_17,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_18,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_19,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00071_20,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00082_03,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00082_04,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00082_05,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00082_06,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00082_07,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00082_08,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00082_09,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00082_10,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00091_01,P07_Ecoli-ST131-c4_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,L00091_02,P07_Paeruginosa-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0006,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0007,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0008,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0009,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0010,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0011,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0012,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0013,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0014,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0016,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0017,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0018,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0019,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0021,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0022,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0023,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0024,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0025,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0028,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0030,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0031,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0032,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0033,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0035,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0035_S2,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0036,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0037,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0038,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0039,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0040,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0041,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0042,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0044,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0045,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0046,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0046_S2,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0047,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0049,P07_Ehormaechei-c1_240825,0
/raven/ptmp/mfenk/data/mf_2020_hap/batch1/denovo_2024_08/mapping_assembly,P07_0050,P07_Ehormaechei-c1_240825,0
